utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,10.69 W,24.2,1.06,0.9000,152832030,
0 %, 3 MiB, 24576 MiB,11.03 W,31.0,2.1,
0 %, 3 MiB, 24576 MiB,11.33 W,28.8,3.13,
0 %, 3 MiB, 24576 MiB,11.12 W,45.1,4.16,
0 %, 3 MiB, 24576 MiB,10.86 W,42.1,5.2,
0 %, 3 MiB, 24576 MiB,11.41 W,45.8,6.23,
0 %, 3 MiB, 24576 MiB,11.22 W,42.2,7.27,
0 %, 3 MiB, 24576 MiB,11.49 W,46.0,8.3,
0 %, 3 MiB, 24576 MiB,10.69 W,53.1,9.33,
0 %, 3 MiB, 24576 MiB,10.92 W,42.9,10.37,
0 %, 3 MiB, 24576 MiB,11.52 W,46.3,11.41,
0 %, 3 MiB, 24576 MiB,11.42 W,41.5,12.44,
0 %, 3 MiB, 24576 MiB,11.36 W,28.8,13.48,
0 %, 3 MiB, 24576 MiB,11.02 W,29.1,14.51,
0 %, 3 MiB, 24576 MiB,11.33 W,27.7,15.54,
0 %, 3 MiB, 24576 MiB,11.07 W,25.9,16.57,
0 %, 3 MiB, 24576 MiB,11.40 W,28.9,17.61,
0 %, 3 MiB, 24576 MiB,10.88 W,23.3,18.64,
0 %, 3 MiB, 24576 MiB,10.40 W,26.4,19.67,
0 %, 3 MiB, 24576 MiB,10.57 W,34.6,20.71,
0 %, 3 MiB, 24576 MiB,10.59 W,35.7,21.74,
0 %, 3 MiB, 24576 MiB,10.89 W,43.4,22.78,
0 %, 3 MiB, 24576 MiB,11.24 W,43.9,23.82,
0 %, 3 MiB, 24576 MiB,11.15 W,50.5,24.85,
0 %, 3 MiB, 24576 MiB,10.97 W,49.0,25.89,
0 %, 3 MiB, 24576 MiB,11.03 W,45.2,26.92,
0 %, 3 MiB, 24576 MiB,11.07 W,41.3,27.95,
0 %, 3 MiB, 24576 MiB,10.96 W,38.5,28.99,
0 %, 3 MiB, 24576 MiB,10.90 W,43.9,30.02,
0 %, 3 MiB, 24576 MiB,10.89 W,22.6,31.06,
0 %, 3 MiB, 24576 MiB,11.05 W,27.4,32.09,
0 %, 3 MiB, 24576 MiB,10.65 W,29.7,33.12,
0 %, 3 MiB, 24576 MiB,10.56 W,15.7,34.16,
0 %, 3 MiB, 24576 MiB,10.63 W,27.7,35.19,
0 %, 3 MiB, 24576 MiB,11.09 W,32.4,36.22,
0 %, 3 MiB, 24576 MiB,10.87 W,38.7,37.25,
0 %, 3 MiB, 24576 MiB,11.07 W,39.8,38.29,
0 %, 3 MiB, 24576 MiB,11.18 W,40.3,39.32,
0 %, 3 MiB, 24576 MiB,10.80 W,47.7,40.36,
0 %, 3 MiB, 24576 MiB,10.66 W,31.3,41.39,
0 %, 3 MiB, 24576 MiB,11.19 W,46.0,42.42,
0 %, 3 MiB, 24576 MiB,11.19 W,46.2,43.46,
0 %, 3 MiB, 24576 MiB,10.84 W,50.8,44.49,
0 %, 3 MiB, 24576 MiB,11.47 W,45.8,45.52,
0 %, 3 MiB, 24576 MiB,10.94 W,42.5,46.55,
0 %, 3 MiB, 24576 MiB,11.10 W,31.2,47.59,
0 %, 3 MiB, 24576 MiB,11.91 W,33.1,48.62,
0 %, 3 MiB, 24576 MiB,11.55 W,18.2,49.65,
0 %, 3 MiB, 24576 MiB,10.72 W,42.0,50.69,
0 %, 3 MiB, 24576 MiB,11.31 W,45.4,51.72,
0 %, 3 MiB, 24576 MiB,10.81 W,45.4,52.75,
0 %, 3 MiB, 24576 MiB,10.62 W,49.6,53.79,
0 %, 3 MiB, 24576 MiB,11.22 W,34.7,54.83,
0 %, 3 MiB, 24576 MiB,11.02 W,45.4,55.86,
0 %, 3 MiB, 24576 MiB,11.80 W,43.3,56.9,
0 %, 3 MiB, 24576 MiB,10.49 W,32.0,57.94,
0 %, 3 MiB, 24576 MiB,10.82 W,45.2,58.97,
0 %, 3 MiB, 24576 MiB,10.27 W,47.2,60.01,
0 %, 3 MiB, 24576 MiB,10.81 W,26.9,61.04,
0 %, 3 MiB, 24576 MiB,11.41 W,30.3,62.08,
0 %, 3 MiB, 24576 MiB,11.37 W,29.6,63.11,
0 %, 3 MiB, 24576 MiB,10.78 W,23.8,64.14,
0 %, 3 MiB, 24576 MiB,11.41 W,24.5,65.18,
0 %, 3 MiB, 24576 MiB,11.23 W,42.6,66.22,
0 %, 3 MiB, 24576 MiB,10.99 W,40.9,67.25,
0 %, 3 MiB, 24576 MiB,11.43 W,43.1,68.28,
0 %, 3 MiB, 24576 MiB,11.43 W,41.7,69.32,
0 %, 3 MiB, 24576 MiB,11.00 W,31.3,70.35,
0 %, 3 MiB, 24576 MiB,10.95 W,44.9,71.39,
0 %, 3 MiB, 24576 MiB,9.94 W,43.7,72.42,
0 %, 3 MiB, 24576 MiB,10.96 W,48.2,73.46,
0 %, 3 MiB, 24576 MiB,10.33 W,42.1,74.49,
0 %, 3 MiB, 24576 MiB,11.12 W,44.9,75.52,
0 %, 3 MiB, 24576 MiB,11.47 W,41.6,76.56,
0 %, 3 MiB, 24576 MiB,11.07 W,33.4,77.59,
0 %, 3 MiB, 24576 MiB,10.61 W,30.1,78.62,
0 %, 3 MiB, 24576 MiB,11.17 W,14.4,79.66,
0 %, 3 MiB, 24576 MiB,11.42 W,18.9,80.69,
0 %, 3 MiB, 24576 MiB,10.42 W,22.3,81.72,
0 %, 3 MiB, 24576 MiB,10.56 W,48.5,82.76,
0 %, 3 MiB, 24576 MiB,10.73 W,48.9,83.79,
0 %, 3 MiB, 24576 MiB,10.92 W,33.3,84.82,
0 %, 3 MiB, 24576 MiB,10.89 W,46.4,85.86,
0 %, 3 MiB, 24576 MiB,9.91 W,47.6,86.9,
0 %, 3 MiB, 24576 MiB,11.52 W,34.5,87.93,
0 %, 3 MiB, 24576 MiB,11.00 W,36.5,88.96,
0 %, 3 MiB, 24576 MiB,11.00 W,43.9,90.0,
0 %, 3 MiB, 24576 MiB,10.70 W,42.9,91.03,
0 %, 3 MiB, 24576 MiB,10.25 W,30.1,92.07,
0 %, 3 MiB, 24576 MiB,11.25 W,32.4,93.1,
0 %, 3 MiB, 24576 MiB,10.60 W,34.9,94.13,
0 %, 3 MiB, 24576 MiB,11.14 W,20.5,95.17,